"filename", "language", "JSON", "Markdown", "JavaScript", "HTTP", "TypeScript", "TypeScript React", "CSS", "XML", "HTML", "comment", "blank", "total"
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/UserBar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 48, 0, 0, 0, 9, 5, 62
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/UserBarIcon.tsx", "TypeScript React", 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 2, 16
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/VerifyCheckMark.tsx", "TypeScript React", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/style/ChatBubble.css", "CSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 1, 8
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/style/ChatRoom.css", "CSS", 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 1, 19
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/style/ExecuteButton.css", "CSS", 0, 0, 0, 0, 0, 0, 61, 0, 0, 10, 2, 73
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/style/Icon.css", "CSS", 0, 0, 0, 0, 0, 0, 20, 0, 0, 6, 2, 28
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/style/InputField.css", "CSS", 0, 0, 0, 0, 0, 0, 40, 0, 0, 6, 2, 48
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/style/LoginForm.css", "CSS", 0, 0, 0, 0, 0, 0, 102, 0, 0, 15, 3, 120
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/style/LoginPage.css", "CSS", 0, 0, 0, 0, 0, 0, 54, 0, 0, 9, 2, 65
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/style/Logout.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 2, 18
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/style/Menu.css", "CSS", 0, 0, 0, 0, 0, 0, 28, 0, 0, 8, 2, 38
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/style/Message.css", "CSS", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 1, 15
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/style/SendButton.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 2, 18
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/style/Signup.css", "CSS", 0, 0, 0, 0, 0, 0, 45, 0, 0, 10, 2, 57
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/style/UserBar.css", "CSS", 0, 0, 0, 0, 0, 0, 36, 0, 0, 8, 2, 46
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/components/style/UserBarIcon.css", "CSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 2, 14
